genome,<lambda>,<lambda>
genome,<lambda>,<lambda>
sadsdfdf,8,64
adsfdf,6,36
genome,wrapper,wrapper,wrapper,wrapper,wrapper
genome,wrapper,wrapper,wrapper,wrapper,wrapper
genome,wrapper,wrapper,wrapper,wrapper,wrapper
1OsHimlxsGE1D3M5tNXTAbnOuq9UAmN2k,3.752529748436305,5.487055743930837,3.9218531826602603,3.562598038784028,1.7141434244197364
1s9dNf0i3kbW88HIVaeDppT7JILDgL2wo,3.541360909282764,3.8420632584306413,3.6327014071439616,3.2613864794926757,1.6857742339177257
1bj4eybCY3XwujjYIKilegdtbj1q2pJ_C,3.9472539789284915,4.218157863217152,3.9738891020288416,3.489497047283104,1.770661759530202
1YKRVGYUeRgxUd-F7B60Vz_dk7s57ZEhu,2.511111111111111,2.291508238276299,2.4531886024423337,2.4138851802403205,1.0319634703196348
1uGIi-4pfOoiZlIsTexPhuRrK81QW69_t,3.5334137163640973,4.163949911197628,3.770114336984883,3.208879712148841,1.6361414235089986
14YFBUNfKdmrlHVz09x1vSTBFhP36BU0N,3.2182458783521075,4.05990647006701,3.4748754691847874,2.9832492619494935,1.6109927231995331
1f5rSSt1DS0_mm6XrH-KiCUKbi1koUdy6,3.212342569794992,3.6993680797859705,3.4160386977660435,2.987035575000994,1.5899000818379294
1nfmlUw8nIaH4VcltO7onFsouI9K-WzdY,3.194400450019319,4.068364016443032,3.479750264876797,2.997923620961316,1.6109500026127352
